id,titulo,subtitulo,cosecha,composicion_varietal,origen,alcohol,azucar_residual,produccion,vinedo,vinificacion,notas_de_cata,maridaje,generico,abbr,linea,foto
1,Amalgama Red Blend,Viña Lagar de Codegua,2013,"70% Cabernet Sauvignon, 30% Syrah","Bottled at its origin in Rancagua, Alto Cachapoal",14 % Vol.,2.43 g/l,48.000 bottles,"<p>Lagar de Codegua’s winery and vineyards are located at the foot of the Andes Mountains in Alto Cachapoal, at 600 meters a.s.l. The Cachapoal Valley has a Mediterranean climate, with a warm, dry growing season from September through May. Rain occurs principally in winter, between May and August, with annual totals of approximately 450 mm (17.7 in). One of the principal characteristics of the climate close to the Andes Mountains is the large difference in temperature between day and night, which can be more than 20ºC (36ºF). This temperature oscillation increases the color and flavors of the grapes, and therefore the wine, while maintaining the freshness.</p><p>Amalgama Red Blend is made with our own grapes from the blocks of the Esperanza I vineyard, producing 10–12 tons per hectare. The vines grow in deep alluvial soils with good drainage, allowing us to control the plant’s vigor and yield naturally. The grapes are harvested by hand and then transported to the winery, located in the same vineyard.</p><p>The 2015 harvest was a normal, dry year, with spikes of heat during January. The ripening was even throughout the vineyard, with cool nights and an easy harvest.</p>","<p>The grapes are harvested by hand, destemmed, and placed in stainless steel tanks, keeping the grapes as intact as possible. Fermentation takes between 15 and 20 days, with the temperature maintained below 28ºC (82.4ºF). The alcoholic fermentation is followed by a 7 day maceration, then pressing. The wine maintains its contact with the lees, and without sulfites during winter until the malolactic fermentation is complete in the spring.</p><p>Once this process is completed, the different lots are tasted and blended to create the final wine for each vintage.</p>","<p>In this blend the Cabernet Sauvignon shows its classic notes of black fruit, surrounded by the floral notes of the Syrah, and a hint of spice.</p><p>It’s a smooth and flexible wine, made to be enjoyed young</p>","<p>With well-balanced structure and smooth texture, Amalgama goes well with white meat like chicken or turkey, accompanied by rice, or cooked in a wok.</p><p>We can’t forget a good mushroom risotto, prosciutto pizza, or Caprese salad with buffalo mozzarella.</p><p>It’s a wine to accompany all kinds of pastas.</p><p>If you plan to enjoy a selection of cheeses, make sure to include gruyere, brie, and mozzarella.</p>",—,rsd,clasica,lagar_rosado.jpg
2,Cabernet Sauvignon Unoaked,Viña Lagar de Codegua,2014,"100% Cabernet Sauvignon","Bottled at its origin in Rancagua, Alto Cachapoal","13,5 % Vol.","2,03 g/l",1.300 botellas,"<p>Lagar de Codegua’s winery and vineyards are located at the foot of the Andes Mountains in Alto Cachapoal, at 600 meters a.s.l. The Cachapoal Valley has a Mediterranean climate, with a warm, dry growing season from September through May. Rain occurs principally in winter, between May and August, with annual totals of approximately 450 mm (17.7 in). One of the principal characteristics of the climate close to the Andes Mountains is the large difference in temperature between day and night, which can be more than 20ºC (36ºF). This temperature oscillation increases the color and flavors of the grapes, and therefore the wine, while maintaining the freshness.</p><p>The rocky alluvial soils are loamy in texture, and originated as the result of a landslide some 12,000 years ago during the last glacial period, with a landslide beginning in the mountains and ending in the valley, forming a table of deep soils with good drainage, allowing us to control the plant’s vigor and yield naturally.</p><p>The vineyard is planted principally with Cabernet Sauvignon (36 hectares) and Syrah (5 hectares), but there are a few experimental blocks planted with Malbec, Carmenère, Petit  Verdot, Tannat, Grenache, and Mourvèdre with excellent results. The yield is 8.5 tons per hectare.</p>","<p>The grapes are harvested by hand and transported to the winery in small bins, where they are carefully sorted, destemmed, and placed gravitationally in stainless steel tanks. After a cold maceration of approximately 5 days in stainless steel, at 8–10ºC (46–50ºF), the temperature gradually begins to rise in order for alcoholic fermentation to begin spontaneously with native yeasts. The beginning of the fermentation is slow, with temperatures maintained between 24–26ºC (75–79ºF), in order to maintain the characteristic freshness of the fruit, and aid the slow extraction. During the beginning of fermentation there are short, closed pump-overs, and during the peak of fermentation punch-downs are incorporated to aid greater extraction. The post-fermentation maceration is prolonged, to ensure a good level of extraction and ripen the tannins.</p><p>Once the alcoholic fermentation is finished, the wine is racked to remove the lees and moved to special polymer tanks that allow a certain permeability of oxygen, lending to the evolution of the wine, just as a wine evolves in a barrel. In the case of this wine, we are looking for this evolution without the intervention of the oak. Before bottling the wines are naturally clarified with egg whites, then lightly filtered to ensure no large residuals remain in the bottle.</p>","<p>Cabernet Sauvignon Unoaked, thanks to the large temperature oscillation in the valley, is a well-structured wine with elegant tannins, fresh and fruity, with delicate aromas of blueberries. On the palate, the body is medium with friendly, silky tannins and a long finish. This wine is fresh and fruity, due to the fact that hasn’t been altered with notes from oak.</p>","<p>Due to its principal characteristics, the freshness, smooth tannins, and fresh fruit notes, this wine is ideal for accompanying stews, vegetable and potato frittatas, baked fish with mashed potatoes or rice, all kinds of fresh salads, or alone as an aperitif.</p>",—,csu,clasica,lagar_csu.jpg
3,Cabernet Sauvignon,Viña Lagar de Codegua,2015,"100% Cabernet Sauvignon","Bottled at its origin in Rancagua, Alto Cachapoal",14% Vol.,"2,9 g/l",33.600 botellas,"<p>Lagar de Codegua’s winery and vineyards are located at the foot of the Andes Mountains in Alto Cachapoal, at 600 meters a.s.l. The Cachapoal Valley has a Mediterranean climate, with a warm, dry growing season from September through May. Rain occurs principally in winter, between May and August, with annual totals of approximately 450 mm (17.7 in). One of the principal characteristics of the climate close to the Andes Mountains is the large difference in temperature between day and night, which can be more than 20ºC (36ºF). This temperature oscillation increases the color and flavors of the grapes, and therefore the wine, while maintaining the freshness.</p><p>The rocky alluvial soils are loamy in texture, and originated as the result of a landslide some 12,000 years ago during the last glacial period, with a landslide beginning in the mountains and ending in the valley, forming a table of deep soils with good drainage, allowing us to control the plant’s vigor and yield naturally.</p><p>The vineyard is planted principally with Cabernet Sauvignon (36 hectares) and Syrah (5 hectares), but there are a few experimental blocks planted with Malbec, Carmenère, Petit  Verdot, Tannat, Grenache, and Mourvèdre with excellent results. The yield is 8.5 tons per hectare.</p>The 2015 harvest was a normal, dry year, with spikes of heat in January, even ripening, cool nights, and an easy harvest.</p>","<p>The grapes are harvested by hand and transported to the winery in small bins, where they are carefully sorted, destemmed, and placed gravitationally in stainless steel tanks. After a 2-day cold maceration at 10ºC (50ºF), alcoholic fermentation begins spontaneously with native yeasts, reaching temperatures between 24–26ºC (75–79Fº). During the fermentation, pump-overs and punch-downs are performed daily, determined by tastings from the tanks. Once the alcoholic fermentation is complete, the wine macerates for a maximum of 21 days to achieve the ideal level of extraction. Later the free run wine is moved to second- and third-use French oak barrels for malolactic fermentation, aging, and stabilization. The percentage of new oak is less than 10% of the total, with the aim of maintaining the aromatic notes of the fruit and a smooth integration of the oak. Next the wine is racked, sulfites are added, and is then returned to the barrels for an additional 8–10 months before bottling. Other grape varieties are included in the final blend in small percentages, lending complexity to the wine.</p>","<p>For its structure, smooth tannins, and fresh palate, the wine is ideal to accompany highly seasoned red meats like beef or lamb, with pepper- or mushroom-based sauces. Other game or stewed meats like veal ragout are also good options.</p><p>With cheeses, gruyère, emmental, or manchego cheeses are a perfect complement for this wine.</p>",—,csr,clasica,lagar_csr.jpg
4,Syrah Edición Limitada,Viña Lagar de Codegua,2014,"87 % Syrah, 9% Mourvèdre, 4% Grenache","Bottled at its origin in Rancagua, Alto Cachapoal","14,5 % Vol.","2,8 g/l",5.086 botellas,"<p>Lagar de Codegua’s winery and vineyards are located at the foot of the Andes Mountains in Alto Cachapoal, at 600 meters a.s.l. The Cachapoal Valley has a Mediterranean climate, with a warm, dry growing season from September through May. Rain occurs principally in winter, between May and August, with annual totals of approximately 450 mm (17.7 in). One of the principal characteristics of the climate close to the Andes Mountains is the large difference in temperature between day and night, which can be more than 20ºC (36ºF). This temperature oscillation increases the color and flavors of the grapes, and therefore the wine, while maintaining the freshness.</p><p>The rocky alluvial soils are loamy in texture, and originated as the result of a landslide some 12,000 years ago during the last glacial period, with a landslide beginning in the mountains and ending in the valley, forming a table of deep soils with good drainage, allowing us to control the plant’s vigor and yield naturally.</p><p>The vineyard is planted principally with Cabernet Sauvignon (36 hectares) and Syrah (5 hectares), but there are a few experimental blocks planted with Malbec, Carmenère, Petit  Verdot, Tannat, Grenache, and Mourvèdre with excellent results. The yield is 8.5 tons per hectare.</p><p>The 2014 harvest was a normal, dry year, with warm days and cool nights.</p>","<p>The grapes are harvested by hand and transported to the winery in small bins, where they are carefully sorted, destemmed, and placed gravitationally in stainless steel tanks. After a 2-day cold maceration at 10ºC (50ºF), the alcoholic fermentation begins with native yeasts at temperatures between 24–26ºC (75–79ºF). There are daily pump-overs and punch-downs determined by tasting. Once the alcoholic fermentation finishes, the wine macerates for a maximum of 21 days to achieve the desired extraction levels, also determined by tasting. Next the free run wine is moved to demi-muid barrels (600L), with 10% new and the rest with 2–3 years of previous use, for malolactic fermentation, later aging and stabilization, for 12 months. Next the wine is racked, sulfites added, then returned to the barrels to age for an additional 8–10 months before bottling. Other varieties are added in small quantities to the final blend to improve the complexity.</p> ","<p>In Alto Cachapoal, Syrah expresses itself on the nose with notes of blackberries, floral aromas, and a hint of black pepper. That aromatic character is complimented with the fresh notes of Mourvèdre and herbal hints from the Grenache, accentuating the freshness of the wine. Syrah Limited Edition is a well-rounded wine with a long, clean finish. The wine ages in the bottle for a year before release to the market, in order to be enjoyed at its ideal moment.</p>","<p>Comprised of 4 different Syrah clones, Syrah Limited Edition is a wine with smooth, well-balanced body, and is a perfect complement for flavorful dishes like Magellen lamb, or slow-cooked beef. Fish like smoked salmon and turbot al merquén, a smoked Chilean chili, marinated with potatoes and olive oil, enhancing new and untraditional flavors. Another good option to accompany this wine is sea bass with a butter sauce and vegetables.</p><p>To liven up a good conversation in the evening, the best accompaniment for this Lagar de Codegua Syrah are hard and creamy cheeses.</p>",—,sel,clasica,lagar_syrah.jpg
5,Aluvión Blend,Viña Lagar de Codegua,2014,"65% Cabernet Sauvignon, 20% Syrah, 10% Petit Verdot, 5% Carmenère","Bottled at its origin in Rancagua, Alto Cachapoal",14% Vol.,"2,5 g/l",13.200 botellas,"<p>Lagar de Codegua’s winery and vineyards are located at the foot of the Andes Mountains in Alto Cachapoal, at 600 meters a.s.l. The Cachapoal Valley has a Mediterranean climate, with a warm, dry growing season from September through May. Rain occurs principally in winter, between May and August, with annual totals of approximately 450 mm (17.7 in). One of the principal characteristics of the climate close to the Andes Mountains is the large difference in temperature between day and night, which can be more than 20ºC (36ºF). This temperature oscillation increases the color and flavors of the grapes, and therefore the wine, while maintaining the freshness.</p><p>The rocky alluvial soils are loamy in texture, and originated as the result of a landslide some 12,000 years ago during the last glacial period, with a landslide beginning in the mountains and ending in the valley, forming a table of deep soils with good drainage, allowing us to control the plant’s vigor and yield naturally.</p><p>The vineyard is planted principally with Cabernet Sauvignon (36 hectares) and Syrah (5 hectares), but there are a few experimental blocks planted with Malbec, Carmenère, Petit  Verdot, Tannat, Grenache, and Mourvèdre with excellent results. The yield is 8.5 tons per hectare.</p><p>The 2014 harvest was a normal, dry year, with warm days and cool nights.</p>","<p>The grapes are harvested by hand and transported to the winery in 20 kg bins. The fruit is then selected by hand in the harvest patio, then heads to the destemmer. Using gravity, the grapes are moved to stainless steel tanks. Each grape variety ferments separately in the tanks at 12ºC (54ºF) for 2 days until alcoholic fermentation begins spontaneously. The temperature is kept at 24–26ºC (75–79ºF) during fermentation, and maceration continues for 15–21 days. Once the alcoholic fermentation is complete the free run wine is moved to 225-liter French oak barrels, using 10% new barrels. After 12 months each variety is tasted in order to assemble the final blend. Once the final blend is complete, the wine returns to the barrels to age for 6–8 months. The wine stabilizes naturally, and is unfiltered at the time of bottling, aging for an additional year before being released on the market. Cellared in optimal conditions of temperature and humidity, Aluvión Blend should continue aging and developing in the bottle for at least 10+ years.</p>","<p>The base of this blend is Cabernet Sauvignon, lending structure to the wine, with fresh red fruit and rounded tannins on the palate. The Syrah, the next variety in importance in this blend, gives spicy and floral notes. The Petit Verdot stands out on the palate with its pronounced acidity. And finally the Carmenère adds more complex notes thanks to its spiced character.</p>","<p>With well-balanced structure and silky tannins, Aluvión Blend can accompany lean meats like beef loin with sautéed vegetables or venison steak with smooth sauces. And don’t forget dishes like rabbit with quinoa or a champagne sauce, or a nice pasta with red sauce, pesto, or a simple dressing of olive oil and cheese. If you plan to enjoy a selection of cheeses, make sure to include camembert, cheddar, and provolone.</p>",—,aen,clasica,lagar_aluvion.jpg
6,Codegua GSM,Línea de Vinos Codegua,—,—,—,—,—,—,—,—,—,—,"<p>The CODEGUA line of wines looks to show the potential and quality of the less traditional varieties cultivated in our vineyard, both in blends and single varieties. The unique labels have a style all their own and honor the Codegua line with illustrations inspired by the fresco painting on one of the adobe walls of our winery. For the Codegua line of wines, the grapes are harvested and crushed by hand, then undergo spontaneous fermentation in bins, then malolactic fermentation in used barrels. They are unfiltered when bottled.</p><p>A red blend comprised of the varieties Grenache, Syrah, and Mourvedre, from the Santa Anta block of the Fundo La Esperanza estate. GSM is the result of a natural evolution of grapes that were originally used to complement Syrah, but now have a more important role in their own wine! With an exuberant red fruit flavor and smooth texture on the palate, it was one of the first blends of these 3 varieties in Chile. The wine has its own unique label, with its own style!</p>",gsm,codegua,lagar_gsm.jpg
7,Codegua MCT,Línea de Vinos Codegua,—,—,—,—,—,—,—,—,—,—,"<p>The CODEGUA line of wines looks to show the potential and quality of the less traditional varieties cultivated in our vineyard, both in blends and single varieties. The unique labels have a style all their own and honor the Codegua line with illustrations inspired by the fresco painting on one of the adobe walls of our winery. For the Codegua line of wines, the grapes are harvested and crushed by hand, then undergo spontaneous fermentation in bins, then malolactic fermentation in used barrels. They are unfiltered when bottled.</p><p>A red blend comprised of the varieties Malbec, Carmenère, and Tannat, all cultivated in our vineyard. These 3 varieties all originate from southeastern France, but have reached new heights in South America: Malbec in Argentina, Carmenère in Chile, and Tannat in Uruguay. This is the first time they’ve been grown in the same vineyard, to then be blended into one wine. Malbec is the base, with clear acidity and aromatic notes of blackberry and violets. The Carmenère lends the wine roundness and lusciousness thanks to its long ripening. The Tannat, recently introduced in Chile, brings intensely fresh notes of raspberry, and gives structure to the blend than to its deep color and extremely high level of tannins.</p>",mct,codegua,lagar_mct.jpg
8,Codegua Mourvèdre,Línea de Vinos Codegua,—,—,—,—,—,—,—,—,—,—,"<p>The CODEGUA line of wines looks to show the potential and quality of the less traditional varieties cultivated in our vineyard, both in blends and single varieties. The unique labels have a style all their own and honor the Codegua line with illustrations inspired by the fresco painting on one of the adobe walls of our winery. For the Codegua line of wines, the grapes are harvested and crushed by hand, then undergo spontaneous fermentation in bins, then malolactic fermentation in used barrels. They are unfiltered when bottled.</p><p>Codegua Mourvèdre is a single variety wine, with little extraction during fermentation, using 15% whole clusters to lend more structure. On the nose the aromas are warm, with good acidity on the palate.</p>",cmr,codegua,lagar_mourvedre.jpg
9,Codegua Petit Verdot,Línea de Vinos Codegua,—,—,—,—,—,—,—,—,—,—,"<p>The CODEGUA line of wines looks to show the potential and quality of the less traditional varieties cultivated in our vineyard, both in blends and single varieties. The unique labels have a style all their own and honor the Codegua line with illustrations inspired by the fresco painting on one of the adobe walls of our winery. For the Codegua line of wines, the grapes are harvested and crushed by hand, then undergo spontaneous fermentation in bins, then malolactic fermentation in used barrels. They are unfiltered when bottled.</p><p>Codegua Petit Verdot is 100% Petit Verdot, with rich acidity on the palate and quality aromas, where black fruit and floral notes stand out, very characteristic of this variety.</p><p>In Lagar de Codegua, we work so that our wine is connected in some way to the land and its people. Our greatest challenge is creating quality wines with identity and personality.</p>",cpv,codegua,lagar_petit-verdot.jpg
10,Codegua Tannat,Línea de Vinos Codegua,—,—,—,—,—,—,—,—,—,—,"<p>The CODEGUA line of wines looks to show the potential and quality of the less traditional varieties cultivated in our vineyard, both in blends and single varieties. The unique labels have a style all their own and honor the Codegua line with illustrations inspired by the fresco painting on one of the adobe walls of our winery. For the Codegua line of wines, the grapes are harvested and crushed by hand, then undergo spontaneous fermentation in bins, then malolactic fermentation in used barrels. They are unfiltered when bottled.</p><p>Codegua Tannat is 100% tannat, harvested early in order to highlight the fresh red fruit aromas. On the palate, its tannic characteristics shine, with an excellent mix between the freshness of the wine and its red fruit notes.</p>",ctn,codegua,lagar_tannat.jpg
